PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Maykhan, NA; Alsalhy, QF; Bakhtiari, O				Maykhan, Nabeel Adnan; Alsalhy, Qusay F.; Bakhtiari, Omid			Incorporation of graphene oxide nanosheets into polyethersulfone membranes to improve their separation performance and antifouling characteristics for Congo red removal	WATER ENVIRONMENT RESEARCH			English	Article						dye removal; GO nanosheets; improvement; nanocomposite; nanofiltration; separation performance	THIN-FILM-COMPOSITE; SURFACE MODIFYING MACROMOLECULES; MIXED MATRIX MEMBRANES; ULTRAFILTRATION MEMBRANES; WASTE-WATER; NANOFILTRATION MEMBRANES; IMPROVED HYDROPHILICITY; FILTRATION MEMBRANES; DYE REMOVAL; FABRICATION	Due to worldwide shortage of water sources and, on the other hand, producing a huge amount of contaminated industrial wastewater, there is an urgent need to provide proper treatment processes such as fast-growing membrane ones. In this study, some nanocomposite nanofilter membranes, as a promising solution for this goal, were fabricated by incorporation of graphene oxide (GO) nanosheets into polyethersulfone (PES) membrane matrix and polyvinylpyrrolidone (PVP) via the method of non-solvent-induced phase separation (NIPS) to dedicate them higher separation performance and a higher antifouling tendency. The produced GO nanosheets and the prepared membranes' structure were evaluated by field-emission scanning electron microscopy (FESEM), X-ray diffraction (XRD), and atomic force microscopy (AFM) analysis. Then, the separation performance and antifouling characteristics of the prepared pristine and nanocomposite membranes were evaluated at 3 bar, 27 degrees C, and Congo red (CR) dye concentrations of 50, 100, and 200 ppm. The observations revealed that the incorporation of GO nanosheets into the polymer matrix of PES-PVP increases the permeation flux, rejection of CR, and flux recovery ratio (FRR) to the maximum values of 276.4 L/m(2).h, 99.5%, and 92.4%, respectively, at 0.4 wt.% loading of GO nanosheets as an optimum filler loading. Practitioner Points Graphene oxide nanosheets were prepared and uniformly incorporated in the polyethersulfone porous membrane.The nanocomposite membranes revealed higher separation performance, that is, permeation flux and dye rejection as 282.5 L/m(2).h and 99.5% at 0.4 wt.% loading of GO nanosheets.Flux recovery ratio of the nanocomposite membrane, as their antifouling character, also increased as 92.4%, as the GO nanosheets were incorporated by 0.4 wt.%.	[Maykhan, Nabeel Adnan; Bakhtiari, Omid] Razi Univ, Fac Petr & Chem Engn, Membrane Res Ctr, Dept Chem Engn, Kermanshah, Iran; [Alsalhy, Qusay F.] Univ Technol Baghdad, Dept Chem Engn, Membrane Technol Res Unit, Baghdad, Iraq; [Bakhtiari, Omid] Razi Univ, Fac Petr & Chem Engn, Membrane Res Ctr, Adv Res Ctr Chem Engn, Kermanshah, Iran	Razi University; University of Technology- Iraq; Razi University	Bakhtiari, O (corresponding author), Razi Univ, Fac Petr & Chem Engn, Membrane Res Ctr, Dept Chem Engn, Kermanshah, Iran.	obakhtiari@razi.ac.ir	Alsalhy, Qusay F./I-1315-2019	Alsalhy, Qusay F./0000-0002-0495-1300					122	1	1	10	10	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1061-4303	1554-7531		WATER ENVIRON RES	Water Environ. Res.	MAY	2023	95	5							e10866	10.1002/wer.10866	http://dx.doi.org/10.1002/wer.10866			27	Engineering, Environmental; Environmental Sciences; Limnology; Water Resources	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Environmental Sciences & Ecology; Marine & Freshwater Biology; Water Resources	G2LE4	37045796				2023-10-18	WOS:000987527300001
J	McCartan, C; Davidson, G; Bradley, L; Greer, K; Knifton, L; Mulholland, A; Webb, P; White, C				McCartan, Claire; Davidson, Gavin; Bradley, Liam; Greer, Katherine; Knifton, Lee; Mulholland, Aodan; Webb, Paul; White, Chris			'Lifts your spirits, lifts your mind': A co-produced mixed-methods exploration of the benefits of green and blue spaces for mental wellbeing	HEALTH EXPECTATIONS			English	Article						green and blue spaces; health inequalities; mental health; mixed methods; nature connectedness; physical health; wellbeing	PHYSICAL-ACTIVITY; STRESS RECOVERY; URBAN GREEN; HEALTH; DEPRESSION; EXPOSURE; PEOPLE; CRIME; INDIVIDUALS; VEGETATION	Introduction: Mental health problems are a considerable public health issue and spending time in nature has been promoted as a way to access a range of psychological benefits leading to the development of nature-based interventions for people with severe and enduring mental health problems. Less, however, is understood about the potential benefits and efficacy of day-to-day routine access to outdoor green and blue spaces for mental health service users. Methods: Using a mixed-methods design between April and October 2021, we explored the benefits and barriers to spending time outdoors with a purposive sample of mental health service users (N = 11) using qualitative interviews and an online general population survey (N = 1791). Qualitative evidence highlighted the restorative benefits of nature and identified a number of barriers associated with fears around personal safety, social anxiety, fatigue and lack of motivation. COVID-19 had also restricted access to green and blue spaces. Having social contact and support encouraged people to spend time outdoors. In the quantitative survey, self-report and standardised measures (the Patient Health Questionnaire and the Warwick-Edinburgh Wellbeing Scale) were used to assess past and current mental wellbeing. Findings: Statistically significant differences were found between wellbeing and the use of green and blue spaces. Those with mental health problems spent time outdoors because they: felt guilty; wanted to reduce their anxiety; or rely on someone for encouragement. Those without mental health problems endorsed more positively framed reasons including relaxation, improving physical health or getting exercise. Barriers for people with mental health problems involved safety concerns, feeling anxious and having a poor self-image. These findings give insight into motivations for an outdoor activity to help inform the design of public mental health interventions. Conclusion: Further work is required to improve access and safety to promote the benefits of green and blue spaces for everyone. Patient or Public Contribution: The research team included expert experienced researchers with a mental health service provider (Praxis Care) and they were involved in the development of the research idea, funding application, design, data collection, analysis, writing up and dissemination activities.	[McCartan, Claire] Northern Hlth & Social Care Trust, Reg Trauma Network, IMPACT Res Ctr, Antrim, North Ireland; [McCartan, Claire; Davidson, Gavin] Queens Univ Belfast, Sch Social Sci Educ & Social Work, Belfast, North Ireland; [Bradley, Liam; Greer, Katherine; Mulholland, Aodan; Webb, Paul] Praxis Care, Belfast, North Ireland; [Knifton, Lee] Mental Hlth Fdn, Glasgow, Scotland	Queens University Belfast	Davidson, G (corresponding author), Queens Univ Belfast, Sch Social Sci Educ & Social Work, 6 Coll Pk, Belfast BT7 1LP, North Ireland.	g.davidson@qub.ac.uk		McCartan, Claire/0000-0002-2341-9715	UKRI Closing the Gap initiative [ES/S004459/1]	UKRI Closing the Gap initiative	UKRI Closing the Gap initiative, Grant/Award Number: ES/S004459/1		72	0	0	12	12	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	1369-6513	1369-7625		HEALTH EXPECT	Health Expect.	AUG	2023	26	4					1679	1691		10.1111/hex.13773	http://dx.doi.org/10.1111/hex.13773		MAY 2023	13	Health Care Sciences & Services; Health Policy & Services; Public, Environmental & Occupational Health	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Health Care Sciences & Services; Public, Environmental & Occupational Health	M0KK1	37128668	Green Published, Green Accepted, gold			2023-10-18	WOS:000979782300001
J	Milef, N; Sueda, S; Kalantari, NK				Milef, N.; Sueda, S.; Kalantari, N. Khademi			Variational Pose Prediction with Dynamic Sample Selection from Sparse Tracking Signals	COMPUTER GRAPHICS FORUM			English	Article								We propose a learning-based approach for full-body pose reconstruction from extremely sparse upper body tracking data, obtained from a virtual reality (VR) device. We leverage a conditional variational autoencoder with gated recurrent units to synthesize plausible and temporally coherent motions from 4-point tracking (head, hands, and waist positions and orientations). To avoid synthesizing implausible poses, we propose a novel sample selection and interpolation strategy along with an anomaly detection algorithm. Specifically, we monitor the quality of our generated poses using the anomaly detection algorithm and smoothly transition to better samples when the quality falls below a statistically defined threshold. Moreover, we demonstrate that our sample selection and interpolation method can be used for other applications, such as target hitting and collision avoidance, where the generated motions should adhere to the constraints of the virtual environment. Our system is lightweight, operates in real-time, and is able to produce temporally coherent and realistic motions.	[Milef, N.; Sueda, S.; Kalantari, N. Khademi] Texas A&M Univ, College Stn, TX 77843 USA	Texas A&M University System; Texas A&M University College Station	Milef, N (corresponding author), Texas A&M Univ, College Stn, TX 77843 USA.			Khademi Kalantari, Nima/0000-0002-2588-9219	National Science Foundation [CAREER-1846368]; mocap.cs.cmu.edu [CMU00]; Edinburgh University [HSKJ15, HSK16]; NSF [EIA-0196217];  [HDM05];  [MRC*07]	National Science Foundation(National Science Foundation (NSF)); mocap.cs.cmu.edu; Edinburgh University; NSF(National Science Foundation (NSF)); ; 	This work was funded in part by the National Science Foundation (CAREER-1846368) and a generous gift from Adobe. The data used in this project was obtained from mocap.cs.cmu.edu [CMU00], HDM05 [MRC*07], and Edinburgh University [HSKJ15; HSK16]. The CMU database was created with funding from NSF EIA-0196217.		39	0	0	4	4	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0167-7055	1467-8659		COMPUT GRAPH FORUM	Comput. Graph. Forum	MAY	2023	42	2					359	369		10.1111/cgf.14767	http://dx.doi.org/10.1111/cgf.14767			11	Computer Science, Software Engineering	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	I0WJ2		hybrid			2023-10-18	WOS:001000062600030
J	Miller, RC; Lee, JH; Kim, YJ; Han, HS; Kong, HYJ				Miller, Ryan C.; Lee, Jonghwi; Kim, Young Jun; Han, Hee-Sun; Kong, Hyunjoon			In-Drop Thermal Cycling of Microcrystal Assembly for Senescence Control (MASC) with Minimal Variation in Efficacy	ADVANCED FUNCTIONAL MATERIALS			English	Article; Early Access						biomanufacturing; drop-microfluidics; exosomes; hyaluronic acid-dopamine; mesenchymal stem cells	MESENCHYMAL STEM-CELLS; DRUG PARTICLES; DELIVERY; CRYSTALLIZATION; MICROPARTICLES; HETEROGENEITY; CRYSTALS; VITRO	The secretome from mesenchymal stem cells (MSCs) have recently gained attention for new therapeutics. However, clinical application requires in vitro cell manufacturing to attain enough cells. Unfortunately, this process often drives MSCs into a senescent state that drastically changes cellular secretion activities. Antioxidants are used to reverse and prevent the propagation of senescence; however, their activity is short-lived. Polymer-stabilized crystallization of antioxidants has been shown to improve bioactivity, but the broad crystal size distribution (CSD) significantly increases the efficacy variation. Efforts are made to crystalize drugs in microdroplets to narrow the CSD, but the fraction of drops containing at least one crystal can be as low as 20%. To this end, this study demonstrates that in-drop thermal cycling of hyaluronic acid-modified antioxidant crystals, named microcrystal assembly for senescence control (MASC), can drive the fraction of microdrops containing crystals to >86% while achieving significantly narrower CSDs (13 +/- 3 mu m) than in bulk (35 +/- 11 mu m). Therefore, this approach considerably improves the practicality of CSD-control in drops. In addition to exhibiting uniform release, MASC made with antioxidizing N-acetylcysteine extends the release time by 40%. MASC further improves the restoration of reactive oxygen species homeostasis in MSCs, thus minimizing cellular senescence and preserving desired secretion activities. It is proposed that MASC is broadly useful to controlling senescence of a wide array of therapeutic cells during biomanufacturing.	[Miller, Ryan C.; Kong, Hyunjoon] Univ Illinois, Dept Chem & Biomol Engn, Urbana, IL 61801 USA; [Lee, Jonghwi] Chung Ang Univ, Dept Chem Engn & Mat Sci, Seoul 06974, South Korea; [Kim, Young Jun] Korea Inst Sci & Technol Europe, Environm Safety Grp, D-66123 Saarbrucken, Germany; [Han, Hee-Sun] Univ Illinois, Dept Chem, Urbana, IL 61801 USA; [Han, Hee-Sun; Kong, Hyunjoon] Univ Illinois, Carl R Woese Inst Genom Biol, Urbana, IL 61801 USA; [Kong, Hyunjoon] Korea Univ, KU KIST Grad Sch Converging Sci & Technol, Seoul, South Korea	University of Illinois System; University of Illinois Urbana-Champaign; Chung Ang University; Korea Institute of Science & Technology (KIST); University of Illinois System; University of Illinois Urbana-Champaign; University of Illinois System; University of Illinois Urbana-Champaign; Korea University	Kong, HYJ (corresponding author), Univ Illinois, Dept Chem & Biomol Engn, Urbana, IL 61801 USA.; Han, HS (corresponding author), Univ Illinois, Dept Chem, Urbana, IL 61801 USA.; Han, HS; Kong, HYJ (corresponding author), Univ Illinois, Carl R Woese Inst Genom Biol, Urbana, IL 61801 USA.; Kong, HYJ (corresponding author), Korea Univ, KU KIST Grad Sch Converging Sci & Technol, Seoul, South Korea.	hshan@illinois.edu; hjkong06@illinois.edu		Miller, Ryan/0000-0001-5140-7079	National Science Foundation Research Training Grant [NRT-MBM 1735252]; National Science Foundation [NSF-CBET 1932 192]; National Research Foundation [NRF-2017M3A7B6052455]; Alzheimer Association [2019-AARG-NTF-644507]; National Institute of Health [NIH 1R01AI160671-A1]	National Science Foundation Research Training Grant; National Science Foundation(National Science Foundation (NSF)); National Research Foundation; Alzheimer Association(Alzheimer's AssociationBrightFocus Foundation); National Institute of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USA)	This work was supported partly by the National Science Foundation Research Training Grant (NRT-MBM 1735252), National Science Foundation (NSF-CBET 1932 192), National Research Foundation (NRF-2017M3A7B6052455), Alzheimer Association (2019-AARG-NTF-644507), and the National Institute of Health (NIH 1R01AI160671-A1).		49	0	0	8	8	WILEY-V C H VERLAG GMBH	WEINHEIM	POSTFACH 101161, 69451 WEINHEIM, GERMANY	1616-301X	1616-3028		ADV FUNCT MATER	Adv. Funct. Mater.	2023 MAY 1	2023										10.1002/adfm.202302232	http://dx.doi.org/10.1002/adfm.202302232		MAY 2023	11	Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Physics, Applied; Physics, Condensed Matter	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Science & Technology - Other Topics; Materials Science; Physics	F1IH8		hybrid			2023-10-18	WOS:000979948000001
J	Montes-Rodríguez, IM; Centeno-Girona, H; Rivera-Lynch, C; Rivera, N; Cruz-Correa, M				Montes-Rodriguez, Ingrid M. M.; Centeno-Girona, Hilmaris; Rivera-Lynch, Camila; Rivera, Noridza; Cruz-Correa, Marcia			Molecular profiling of colorectal cancer in a genetically admixed Hispanic population	CANCER MEDICINE			English	Article						colorectal cancer; GENIE; Hispanics; molecular profiling; precision oncology; TCGA	UNITED-STATES; MUTATION; FREQUENCY; COLON; DISPARITIES; BIOMARKER; PATTERNS; TUMORS; HER2; KRAS	Backgorund: Colorectal cancer (CRC) is among the leading causes of cancer-related deaths among Hispanics living in the United States (USH). Understanding the most common carcinogenic molecular pathways that affect Hispanics with CRC is crucial to guide research efforts in developing new therapeutic modalities incorporating genomically diverse populations. Tumor profiling techniques help identify actionable alternatives to recommend treatment and improve survival in cancer patients. Methods: We conducted a secondary data analysis to evaluate the mutational profile of 218 CRC tumors in Hispanics living in Puerto Rico (PRH) who underwent next-generation sequencing (NGS) testing from 2015 to 2020. We compared the prevalence of CRC tumor somatic mutations in PRHs with the mutational profiles reported for CRC from The Cancer Genome Atlas (TCGA) Pan-Cancer Clinical Data, the AACR Project Genomics Evidence Neoplasia Information Exchange (GENIE)-Non-Hispanic, and GENIE-Hispanic datasets. Results: Among the top mutated genes in CRC tumors in PRHs were APC, TP53, and KRAS, which had significantly higher mutational frequencies in PRH compared to the examined datasets, including GENIE-Hispanics. The most frequent gene amplifications for PRH were CDX2, CDKN1B, and HNRNPA2B1. Targetable biomarkers for CRC, such as microsatellite instability-high (MSI), wild-type KRAS, wild-type NRAS, V600E BRAF, and ERBB2 gene amplifications were found in 2.0%, 43.8%, 97.8%, 3.9%, and 2.3%, respectively, of PRH patients. Conclusion: This is the first study to report the mutational profile of CRC tumors in PRHs and make comparisons to other non-Hispanic and USH populations.	[Montes-Rodriguez, Ingrid M. M.; Centeno-Girona, Hilmaris; Rivera, Noridza; Cruz-Correa, Marcia] Univ Puerto Rico, Div Canc Biol, Comprehens Canc Ctr, San Juan, PR USA; [Rivera-Lynch, Camila; Rivera, Noridza; Cruz-Correa, Marcia] Univ Puerto Rico, Dept Med, Sch Med, San Juan, PR USA	University of Puerto Rico; University of Puerto Rico Medical Sciences Campus; University of Puerto Rico; University of Puerto Rico Medical Sciences Campus	Cruz-Correa, M (corresponding author), Univ Puerto Rico, Div Canc Biol, Comprehens Canc Ctr, San Juan, PR USA.	marcia.cruz1@upr.edu			Caris Life Sciences and Precision Oncology Alliance; PRH CRC tumors; University of Puerto Rico Comprehensive Cancer Center; Hispanic Alliance for Clinical and Translational Research; National Institute of General Medical Sciences (NIGMS) National Institutes of Health [U54GM133807]	Caris Life Sciences and Precision Oncology Alliance; PRH CRC tumors; University of Puerto Rico Comprehensive Cancer Center; Hispanic Alliance for Clinical and Translational Research; National Institute of General Medical Sciences (NIGMS) National Institutes of Health(United States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS))	ACKNOWLEDGMENTS The authors acknowledge the Caris Life Sciences and Precision Oncology Alliance for providing the mutational data obtained from NGS from PRH CRC tumors. The authors would also like to acknowledge the University of Puerto Rico Comprehensive Cancer Center for institutional support. The project was partly supported by the Hispanic Alliance for Clinical and Translational Research (Alliance), which is supported by the National Institute of General Medical Sciences (NIGMS) National Institutes of Health under Award Number U54GM133807.		59	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	2045-7634			CANCER MED-US	Cancer Med.	MAY	2023	12	10					11686	11702		10.1002/cam4.5888	http://dx.doi.org/10.1002/cam4.5888			17	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	I2DG4	37039257	Green Published, gold			2023-10-18	WOS:001000935400048
J	Mukendi, AM; Mathye, CE				Mukendi, Alain Mwamba; Mathye, Charles Eustachia			Pelvic gunshot wound presenting as bladder clot concealing a left external iliac injury	CLINICAL CASE REPORTS			English	Article						arteriovesical fistula; bladder clot; bladder injury; external iliac artery injury; ilio-vesical fistula; pelvic gunshot wound	ARTERIOVESICAL FISTULA; COMPLICATION	Key clinical messageThis is the first reported case of a pelvic gunshot wound with a bladder injury masking a coinciding left external iliac artery injury. A high index of suspicion for an acute and traumatic ilio-vesical fistula should be raised in the presence of the following triad: bright red hematuria, bladder distension from clot retention, hemodynamic instability after bladder decompression "Mukendi's triad." Iliac artery injury from gunshot wounds is very rare and a lethal injury associated with high mortality rate. Concurrent ballistic external iliac artery and bladder injuries resulting in an acute ilio-vesical shunt or fistula and discovered at the time of presentation are extremely rare.In this report, we present an unprecedented case of multiple pelvic gunshot wounds presented with a distended injured bladder full of clots concealing a left external iliac injury by tamponade effect.	[Mukendi, Alain Mwamba; Mathye, Charles Eustachia] Univ Witwatersrand, Helen Joseph Hosp, Dept Surg, Div Urol, Johannesburg, South Africa; [Mukendi, Alain Mwamba] Univ Witwatersrand, Helen Joseph Hosp, Dept Surg, Div Urol, Johannesburg, South Africa	University of Witwatersrand; University of Witwatersrand	Mukendi, AM (corresponding author), Univ Witwatersrand, Helen Joseph Hosp, Dept Surg, Div Urol, Johannesburg, South Africa.	alainmwamba2006@yahoo.fr	MUKENDI, ALAIN MWAMBA/Y-3048-2019	MUKENDI, ALAIN MWAMBA/0000-0002-3397-1685					5	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	2050-0904			CLIN CASE REP	Clin. Case Rep.	MAY	2023	11	5							e07331	10.1002/ccr3.7331	http://dx.doi.org/10.1002/ccr3.7331			4	Medicine, General & Internal	Emerging Sources Citation Index (ESCI)	General & Internal Medicine	F1SV5	37151933	gold, Green Published, Green Submitted			2023-10-18	WOS:000980224000001
J	Mumford, B; Chong, A; Grimes, J				Mumford, Blake; Chong, Alvin; Grimes, John			Redesigning a transplant dermatology database - lessons learned	AUSTRALASIAN JOURNAL OF DERMATOLOGY			English	Meeting Abstract									[Mumford, Blake; Chong, Alvin] Skin Hlth Inst Carlton, Carlton, Vic, Australia; [Grimes, John] Commonwealth Sci & Ind Res Org, Canberra, ACT, Australia	Commonwealth Scientific & Industrial Research Organisation (CSIRO)									0	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0004-8380	1440-0960		AUSTRALAS J DERMATOL	Australas. J. Dermatol.	MAY	2023	64			1	SI		96	96						1	Dermatology	Science Citation Index Expanded (SCI-EXPANDED)	Dermatology	O3SR6					2023-10-18	WOS:001043053900189
J	Nagino, K; Sung, JMY; Midorikawa-Inomata, A; Eguchi, A; Fujimoto, K; Okumura, Y; Yee, A; Fujio, K; Akasaki, Y; Huang, TX; Miura, M; Hurramhon, S; Hirosawa, K; Ohno, M; Morooka, Y; Kobayashi, H; Inomata, T				Nagino, Ken; Sung, Jaemyoung; Midorikawa-Inomata, Akie; Eguchi, Atsuko; Fujimoto, Keiichi; Okumura, Yuichi; Yee, Alan; Fujio, Kenta; Akasaki, Yasutsugu; Huang, Tianxiang; Miura, Maria; Hurramhon, Shokirova; Hirosawa, Kunihiko; Ohno, Mizu; Morooka, Yuki; Kobayashi, Hiroyuki; Inomata, Takenori			The minimal clinically important difference of app-based electronic patient-reported outcomes for hay fever	CLINICAL AND TRANSLATIONAL ALLERGY			English	Article						hay fever; minimal clinically important difference; mobile health; patient-reported outcome measures; pollen allergy	QUALITY-OF-LIFE; JAPANESE CEDAR POLLINOSIS; RESPONSIVENESS; RHINOCONJUNCTIVITIS; ASSOCIATION; PREVALENCE; SYMPTOM; EQ-5D; PAPER	BackgroundHay fever is a common allergic disease, with an estimated worldwide prevalence of 14.4% and a variety of symptoms. This study assessed the minimal clinically important difference (MCID) of nasal symptom score (NSS), non-nasal symptom score (NNSS), and total symptoms score (TSS) for app-based hay-fever monitoring. MethodsMCIDs were calculated based on the data from a previous large-scale, crowdsourced, cross-sectional study using AllerSearch, an in-house smartphone application. MCIDs were determined with anchor-based and distribution-based methods. The face scale score of the Japanese Allergic Conjunctival Disease Standard Quality of Life Questionnaire Domain III and the daily stress level due to hay fever were used as anchors for determining MCIDs. The MCID estimates were summarized as MCID ranges. ResultsA total of 7590 participants were included in the analysis (mean age: 35.3 years, 57.1% women). The anchor-based method produced a range of MCID values (median, interquartile range) for NSS (2.0, 1.5-2.1), NNSS (1.0, 0.9-1.2), and TSS (2.9, 2.4-3.3). The distribution-based method produced two MCIDs (based on half a standard deviation, based on a standard error of measurement) for NSS (2.0, 1.8), NNSS (1.3, 1.2), and TSS (3.0, 2.3). The final suggested MCID ranges for NSS, NNSS, and TSS were 1.8-2.1, 1.2-1.3, and 2.4-3.3, respectively. ConclusionsMCID ranges for app-based hay-fever symptom assessment were obtained from the data collected through a smartphone application, AllerSearch. These estimates may be useful for monitoring the subjective symptoms of Japanese patients with hay fever through mobile platforms.	[Nagino, Ken; Midorikawa-Inomata, Akie; Eguchi, Atsuko; Kobayashi, Hiroyuki; Inomata, Takenori] Juntendo Univ, Dept Hosp Adm, Grad Sch Med, Tokyo, Japan; [Nagino, Ken; Sung, Jaemyoung; Fujimoto, Keiichi; Okumura, Yuichi; Yee, Alan; Fujio, Kenta; Akasaki, Yasutsugu; Huang, Tianxiang; Miura, Maria; Hurramhon, Shokirova; Hirosawa, Kunihiko; Ohno, Mizu; Morooka, Yuki; Inomata, Takenori] Juntendo Univ, Dept Ophthalmol, Grad Sch Med, Tokyo, Japan; [Nagino, Ken; Okumura, Yuichi; Yee, Alan; Fujio, Kenta; Akasaki, Yasutsugu; Huang, Tianxiang; Miura, Maria; Hirosawa, Kunihiko; Ohno, Mizu; Morooka, Yuki; Inomata, Takenori] Juntendo Univ, Dept Digital Med, Grad Sch Med, Tokyo, Japan; [Sung, Jaemyoung] Univ S Florida, Morsani Coll Med, Tampa, FL USA; [Inomata, Takenori] Juntendo Univ, AI Incubat Farm, Grad Sch Med, Tokyo, Japan; [Inomata, Takenori] Juntendo Univ, Grad Sch Med, Dept Ophthalmol, 2-1-1 Hongo,Bunkyo Ku, Tokyo 1130033, Japan	Juntendo University; Juntendo University; Juntendo University; State University System of Florida; University of South Florida; Juntendo University; Juntendo University	Inomata, T (corresponding author), Juntendo Univ, Grad Sch Med, Dept Ophthalmol, 2-1-1 Hongo,Bunkyo Ku, Tokyo 1130033, Japan.	tinoma@juntendo.ac.jp	Morooka, Yuki/AAA-1898-2022; Inomata, Takenori/L-8210-2019	Inomata, Takenori/0000-0003-3435-1055; Nagino, Ken/0000-0002-0317-6074; Sung, Jaemyoung/0000-0002-9441-3687	Japan Agency for Medical Research and Development [JP19ek0410063, JP23ek0410090]; Japan Society for the Promotion of Science [20KK0207, 21K17311, 21K20998, 22K16983]; Kondou Kinen Medical Foundation; Medical Research Encouragement Prize 2020; Ichiro Kanehara Foundation; OTC Self-Medication Promotion Foundation 2019 and 2021; Institute for Environmental & Gender-specific Medicine, Juntendo University	Japan Agency for Medical Research and Development(Japan Agency for Medical Research and Development (AMED)); Japan Society for the Promotion of Science(Ministry of Education, Culture, Sports, Science and Technology, Japan (MEXT)Japan Society for the Promotion of Science); Kondou Kinen Medical Foundation; Medical Research Encouragement Prize 2020; Ichiro Kanehara Foundation; OTC Self-Medication Promotion Foundation 2019 and 2021; Institute for Environmental & Gender-specific Medicine, Juntendo University	OTC Self-Medication Promotion Foundation 2019 and 2021; The Institute for Environmental & Gender-specific Medicine, Juntendo University; Takeda Science Foundation; The Kondou Kinen Medical Foundation, Medical Research Encouragement Prize 2020; Japan Agency for Medical Research and Development, Grant/Award Numbers: JP19ek0410063, JP23ek0410090; Japan Society for the Promotion of Science, Grant/Award Numbers: 20KK0207, 21K17311, 21K20998, 22K16983; The Ichiro Kanehara Foundation		46	0	0	0	0	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA		2045-7022		CLIN TRANSL ALLERGY	Clin. Transl. Allergy	MAY	2023	13	5							e12244	10.1002/clt2.12244	http://dx.doi.org/10.1002/clt2.12244			11	Allergy	Science Citation Index Expanded (SCI-EXPANDED)	Allergy	F0ZZ0	37227421	Green Published, gold			2023-10-18	WOS:000979730000001
J	Nierengarten, MB				Nierengarten, Mary Beth			MRI-guided radiotherapy results in fewer toxicities for localized prostate cancer	CANCER			English	News Item																			2	0	0	1	1	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0008-543X	1097-0142		CANCER-AM CANCER SOC	Cancer	MAY 1	2023	129	9					1303	1304		10.1002/cncr.34776	http://dx.doi.org/10.1002/cncr.34776			2	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	C9NW3	37029507	Bronze			2023-10-18	WOS:000965112500002
J	Nierengarten, MB				Nierengarten, Mary Beth			New biomarker-based strategy screens for myocarditis after immune checkpoint inhibitor treatment	CANCER			English	News Item																			1	0	0	4	5	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0008-543X	1097-0142		CANCER-AM CANCER SOC	Cancer	MAY 1	2023	129	9					1304	1304		10.1002/cncr.34777	http://dx.doi.org/10.1002/cncr.34777			1	Oncology	Science Citation Index Expanded (SCI-EXPANDED)	Oncology	C9NW3	37029508	Bronze			2023-10-18	WOS:000965112500003
